Date,BTCC-B.TO,ETHH-B.TO,VCN.TO,XIC.TO
2022-01-05,-0.04712642027594949,-0.05750431484173946,-0.008630719409922327,-0.008883601806157992
2022-01-06,-0.018094043331786103,-0.047589979378755976,0.0021176506491269453,0.0014938522628322737
2022-01-07,-0.036855058732393475,-0.07046761383654998,0.001173966585616748,0.0002982792779433474
2022-01-10,-0.0025510179256708065,-0.03652658017127752,-0.0009381077884595967,-0.0005964944375727033
2022-01-11,0.019181536475389338,0.044349131583320434,0.009155005124768412,0.010444712215740504
2022-01-12,0.017565855730371283,0.0376711796363105,0.006047878841173304,0.005316016005054491
2022-01-13,-0.02466088997925786,-0.03300330116104033,-0.0050867334266618824,-0.004406625201072822
2022-01-14,0.012642273501742629,0.015017083464667014,0.003950778258547727,0.002950790516948354
2022-01-17,-0.026217232477693475,-0.03227972736586748,0.008333347314669615,0.010297100818998262
2022-01-18,-0.00961542106003832,-0.027797120407311082,-0.011937567524561876,-0.013977854982628934
2022-01-19,-0.004530724640025019,-0.006433177559708958,-0.0037174684946251757,-0.003839369928289149
2022-01-20,0.027308197215134555,0.02733813847982658,-0.006996250690012751,-0.006225884593022202
2022-01-21,-0.09620255945661327,-0.1351540187388992,-0.021136718815791933,-0.0217780290055829
2022-01-24,-0.02521006046281926,-0.10040491388591466,-0.0009597148568728509,-0.0012199119978798523
2022-01-25,-0.011494241848790776,-0.009000848864591071,0.00072043179002379,0.0012214020008349813
2022-01-26,0.00872092177056838,0.036330573134865096,0.0011999772967370426,0.0006099559989398706
2022-01-27,-0.03458216800814329,-0.06573181507711467,-0.002396986718416816,-0.002743070674210757
2022-01-28,0.06417915185328105,0.076923049396036,0.008890022971590694,0.0097799414084907
2022-01-31,0.014025231841165109,0.0644599960191572,0.018099506814807764,0.017251806266032732
2022-02-01,0.0,0.03191484297268854,0.009824518571820207,0.010711115852841901
2022-02-02,-0.027662490835064557,-0.02061849978479935,0.0025480800328292474,0.0017661924179497301
2022-02-03,-0.032005743208343485,-0.051821888546904615,-0.012938945803797619,-0.012341997767006396
2022-02-04,0.1241734442828204,0.15200680846905135,0.008426980338593681,0.008330817441599248
2022-02-07,0.07973857855031907,0.0585618958678118,-0.002089139943420637,-0.0014753389778997539
2022-02-08,0.00665851694642261,-0.006302531811684053,0.006978349042745302,0.006501218076569781
2022-02-09,0.009019935865829165,0.04157858844502904,0.010395027799088075,0.010863150821095013
2022-02-10,-0.011918996111759728,-0.04330171862051713,-0.002972132215971812,-0.0031949058779132677
2022-02-11,-0.0398069873612269,-0.06011317969105401,-0.0004586209007968467,0.0002914375384444057
2022-02-14,-0.0037688705608767137,-0.007524483202164256,-0.007570585682484698,-0.007864854161453327
2022-02-15,0.04665830648242997,0.07505691859648356,0.006472552123395925,0.006752775483347184
2022-02-16,-0.003614425576119795,0.007757380416775872,-0.004823129996714526,-0.005541045095750152
2022-02-17,-0.07134227288599126,-0.07837647925464708,-0.010154683194379621,-0.010850409045195741
2022-02-18,-0.019531200766018997,-0.036446506691723335,-0.0076940550490440796,-0.006225884593022202
2022-02-22,-0.050464821228815016,-0.06461778738683388,-0.0054041244082446704,-0.005071658153966485
2022-02-23,-0.008391600276818956,0.005054795298666814,-0.00779593235955367,-0.007796051976882601
2022-02-24,0.023977443248981434,0.017602685060776224,0.0009524027506511157,0.0012088520804740543
2022-02-25,0.009641830939032925,0.014826964284269328,0.01736440357608804,0.016601244169287765
2022-02-28,0.07094133510762735,0.04058441658972245,0.00023376949792353052,0.0005938378142056333
2022-03-01,0.0573248779069071,0.05772236680249221,-0.005843852434165742,-0.005341255225540853
2022-03-02,-0.015662664030542395,-0.019174057583781767,0.01199158595976102,0.012231498860768797
2022-03-03,-0.03794368909237056,-0.04736842897790283,0.0011616922861752421,0.0
2022-03-04,-0.05597965009495798,-0.05998423238400963,0.007194276449135728,0.007368110750115786
2022-03-07,-0.04312670732763746,-0.05373630544483177,-0.004147472323669188,-0.004681095552473757
2022-03-08,0.03239436931871187,0.04436557051384682,-0.005090264102022735,-0.003233410019736205
2022-03-09,0.07912686626779752,0.043330438009551386,0.01302328775095396,0.012385785477219136
2022-03-10,-0.05562579844605342,-0.026058607637020947,0.003902620835304793,0.004369289344049898
2022-03-11,-0.03480585801167835,-0.03762540199246167,-0.005259536808688625,-0.005800486241145708
2022-03-14,0.018030528953274283,0.007819300677514684,-0.011494252873563204,-0.012251989028627563
2022-03-15,0.019073550895804203,0.04568963065017084,0.0006976460301599818,0.0011813619257619035
2022-03-16,0.02406414811225077,0.028854033346523256,0.013014208440099928,0.012684374213007832
2022-03-17,-0.007180134390890935,0.02083335243738693,0.013994049282318066,0.013981925914204885
2022-03-18,0.02695593993319023,0.04866561198569519,0.0024887015487067288,0.0022981330997247085
2022-03-21,-0.02048653631041719,-0.017215535040929097,0.008124504276618927,0.008598430562012371
2022-03-22,0.026143765591094548,0.021325188920846783,0.0033579926578817254,0.00312590550282299
2022-03-23,-0.0025477683018455544,-0.007457078965941055,-0.007139663029965937,-0.006798806486022935
2022-03-24,0.037037032526018976,0.04507884364234216,0.0006741298718397903,0.0008556411329672109
2022-03-25,0.0073892143426512735,-0.002875626332984438,0.0026948742392021163,-0.0028497712649260265
2022-03-28,0.08251824106087757,0.09805332861561356,-0.00022401200198551852,-0.001143209877350837
2022-03-29,-0.006211107210015165,0.004596234445339853,0.004032264956023379,0.004864039062499215
2022-03-30,-0.015909129578219106,-0.013071882795547274,0.0008924791566200518,0.0002847988762717524
