Date,BTCC-B.TO,ETHH-B.TO,VCN.TO,XIC.TO
2022-01-04,8.699999809265137,17.389999389648438,42.869998931884766,33.77000045776367
2022-01-05,8.289999961853027,16.389999389648438,42.5,33.470001220703125
2022-01-06,8.140000343322754,15.609999656677246,42.59000015258789,33.52000045776367
2022-01-07,7.840000152587891,14.510000228881836,42.63999938964844,33.529998779296875
2022-01-10,7.820000171661377,13.979999542236328,42.599998474121094,33.5099983215332
2022-01-11,7.96999979019165,14.600000381469727,42.9900016784668,33.86000061035156
2022-01-12,8.109999656677246,15.149999618530273,43.25,34.040000915527344
2022-01-13,7.909999847412109,14.649999618530273,43.029998779296875,33.88999938964844
2022-01-14,8.010000228881836,14.869999885559082,43.20000076293945,33.9900016784668
2022-01-17,7.800000190734863,14.390000343322754,43.560001373291016,34.34000015258789
2022-01-18,7.724999904632568,13.989999771118164,43.040000915527344,33.86000061035156
2022-01-19,7.690000057220459,13.899999618530273,42.880001068115234,33.72999954223633
2022-01-20,7.900000095367432,14.279999732971191,42.58000183105469,33.52000045776367
2022-01-21,7.139999866485596,12.350000381469727,41.68000030517578,32.790000915527344
2022-01-24,6.960000038146973,11.109999656677246,41.63999938964844,32.75
2022-01-25,6.880000114440918,11.010000228881836,41.66999816894531,32.790000915527344
2022-01-26,6.940000057220459,11.40999984741211,41.720001220703125,32.810001373291016
2022-01-27,6.699999809265137,10.65999984741211,41.619998931884766,32.720001220703125
2022-01-28,7.130000114440918,11.479999542236328,41.9900016784668,33.040000915527344
2022-01-31,7.230000019073486,12.220000267028809,42.75,33.61000061035156
2022-02-01,7.230000019073486,12.609999656677246,43.16999816894531,33.970001220703125
2022-02-02,7.03000020980835,12.350000381469727,43.279998779296875,34.029998779296875
2022-02-03,6.804999828338623,11.710000038146973,42.720001220703125,33.61000061035156
2022-02-04,7.650000095367432,13.489999771118164,43.08000183105469,33.88999938964844
2022-02-07,8.260000228881836,14.279999732971191,42.9900016784668,33.84000015258789
2022-02-08,8.3149995803833,14.1899995803833,43.290000915527344,34.060001373291016
2022-02-09,8.390000343322754,14.779999732971191,43.7400016784668,34.43000030517578
2022-02-10,8.289999961853027,14.140000343322754,43.61000061035156,34.31999969482422
2022-02-11,7.960000038146973,13.289999961853027,43.59000015258789,34.33000183105469
2022-02-14,7.929999828338623,13.1899995803833,43.2599983215332,34.060001373291016
2022-02-15,8.300000190734863,14.180000305175781,43.540000915527344,34.290000915527344
2022-02-16,8.270000457763672,14.289999961853027,43.33000183105469,34.099998474121094
2022-02-17,7.679999828338623,13.170000076293945,42.88999938964844,33.72999954223633
2022-02-18,7.53000020980835,12.6899995803833,42.560001373291016,33.52000045776367
2022-02-22,7.150000095367432,11.869999885559082,42.33000183105469,33.349998474121094
2022-02-23,7.090000152587891,11.930000305175781,42.0,33.09000015258789
2022-02-24,7.260000228881836,12.140000343322754,42.040000915527344,33.130001068115234
2022-02-25,7.329999923706055,12.319999694824219,42.77000045776367,33.68000030517578
2022-02-28,7.849999904632568,12.819999694824219,42.779998779296875,33.70000076293945
2022-03-01,8.300000190734863,13.5600004196167,42.529998779296875,33.52000045776367
2022-03-02,8.170000076293945,13.300000190734863,43.040000915527344,33.93000030517578
2022-03-03,7.860000133514404,12.670000076293945,43.09000015258789,33.93000030517578
2022-03-04,7.420000076293945,11.90999984741211,43.400001525878906,34.18000030517578
2022-03-07,7.099999904632568,11.270000457763672,43.220001220703125,34.02000045776367
2022-03-08,7.329999923706055,11.770000457763672,43.0,33.90999984741211
2022-03-09,7.909999847412109,12.279999732971191,43.560001373291016,34.33000183105469
2022-03-10,7.46999979019165,11.960000038146973,43.72999954223633,34.47999954223633
2022-03-11,7.210000038146973,11.510000228881836,43.5,34.279998779296875
2022-03-14,7.340000152587891,11.600000381469727,43.0,33.86000061035156
2022-03-15,7.480000019073486,12.130000114440918,43.029998779296875,33.900001525878906
2022-03-16,7.659999847412109,12.479999542236328,43.59000015258789,34.33000183105469
2022-03-17,7.605000019073486,12.739999771118164,44.20000076293945,34.810001373291016
2022-03-18,7.809999942779541,13.359999656677246,44.310001373291016,34.88999938964844
2022-03-21,7.650000095367432,13.130000114440918,44.66999816894531,35.189998626708984
2022-03-22,7.849999904632568,13.40999984741211,44.81999969482422,35.29999923706055
2022-03-23,7.829999923706055,13.3100004196167,44.5,35.060001373291016
2022-03-24,8.119999885559082,13.90999984741211,44.529998779296875,35.09000015258789
2022-03-25,8.180000305175781,13.869999885559082,44.650001525878906,34.9900016784668
2022-03-28,8.854999542236328,15.229999542236328,44.63999938964844,34.95000076293945
2022-03-29,8.800000190734863,15.300000190734863,44.81999969482422,35.119998931884766
2022-03-30,8.65999984741211,15.100000381469727,44.86000061035156,35.130001068115234
2022-03-31,8.40999984741211,14.6899995803833,44.189998626708984,34.86000061035156
2022-04-01,8.5600004196167,15.479999542236328,44.25,34.93000030517578
2022-04-04,8.460000038146973,15.5600004196167,44.52000045776367,35.130001068115234
2022-04-05,8.479999542236328,15.4399995803833,44.2400016784668,34.900001525878906
2022-04-06,8.09000015258789,14.40999984741211,43.95000076293945,34.68000030517578
2022-04-07,8.029999732971191,14.449999809265137,44.040000915527344,34.7400016784668
2022-04-08,7.920000076293945,14.510000228881836,44.13999938964844,34.83000183105469
2022-04-11,7.449999809265137,13.5600004196167,43.970001220703125,34.70000076293945
2022-04-12,7.320000171661377,13.399999618530273,43.83000183105469,34.59000015258789
2022-04-13,7.599999904632568,13.829999923706055,44.06999969482422,34.779998779296875
